rank,country,lat,lng,hdi,life_expectancy,expected_school_years,mean_years_of_school,gross_national_income,GNI per capita rank minus HDI rank
171,Afghanistan,33.93911,67.709953,0.465,60.4,9.3,3.2,"1,885",-7
85,Albania,41.153332,20.168331,0.733,77.8,11.8,9.3,"9,943",14
83,Algeria,28.033886,1.659626,0.736,74.8,14,7.6,"13,054",-1
34,Andorra,42.546245,1.601554,0.845,81.3,13.5,9.6,"43,978",-18
149,Angola,-11.202692,17.873887,0.532,52.3,11.4,4.7,"6,822",-30
58,Antigua and Barbuda,17.060816,-61.796428,0.783,76.1,14,9.2,"20,070",-1
40,Argentina,-38.416097,-63.616672,0.836,76.3,17.9,9.8,"22,050",11
85,Armenia,40.069099,45.038189,0.733,74.7,12.3,10.9,"8,124",22
2,Australia,-25.274398,133.775136,0.935,82.4,20.2,13,"42,261",17
23,Austria,47.516231,14.550072,0.885,81.4,15.7,10.8,"43,869",-5
78,Azerbaijan,40.143105,47.576927,0.751,70.8,11.9,11.2,"16,428",-11
55,Bahamas,43.915886,17.679076,0.79,75.4,12.6,10.9,"21,336",-3
45,Bahrain,25.930414,50.637772,0.824,76.6,14.4,9.4,"38,599",-20
142,Bangladesh,23.684994,90.356331,0.57,71.6,10,5.1,"3,191",5
57,Barbados,13.193887,-59.543198,0.785,75.6,15.4,10.5,"12,488",27
50,Belarus,53.709807,27.953389,0.798,71.3,15.7,12,"16,676",14
21,Belgium,50.503887,4.469936,0.89,80.8,16.3,11.3,"41,187",0
101,Belize,17.189877,-88.49765,0.715,70,13.6,10.5,"7,614",9
166,Benin,9.30769,2.315834,0.48,59.6,11.1,3.3,"1,767",0
132,Bhutan,27.514162,90.433601,0.605,69.5,12.6,3,"7,176",-17
119,Bolivia (Plurinational State of),-16.290154,-63.588653,0.662,68.3,13.2,8.2,"5,760",4
85,Bosnia and Herzegovina,43.915886,17.679076,0.733,76.5,13.6,8.3,"9,638",19
106,Botswana,-22.328474,24.684866,0.698,64.5,12.5,8.9,"16,646",-41
75,Brazil,-14.235004,-51.92528,0.755,74.5,15.2,7.7,"15,175",-1
31,Brunei Darussalam,4.535277,114.727669,0.856,78.8,14.5,8.8,"72,570",-26
59,Bulgaria,42.733883,25.48583,0.782,74.2,14.4,10.6,"15,596",13
183,Burkina Faso,12.238333,-1.561593,0.402,58.7,7.8,1.4,"1,591",-13
184,Burundi,-3.373056,29.918886,0.4,56.7,10.1,2.7,758,1
122,Cape Verde,16.002082,-24.013197,0.646,73.3,13.5,4.7,"6,094",-1
143,Cambodia,12.565679,104.990963,0.555,68.4,10.9,4.4,"2,949",7
153,Cameroon,7.369722,12.354722,0.512,55.5,10.4,6,"2,803",-1
9,Canada,56.130366,-106.346771,0.913,82,15.9,13,"42,155",11
187,Central African Republic,6.611111,20.939444,0.35,50.7,7.2,4.2,581,1
185,Chad,15.454166,18.732207,0.392,51.6,7.4,1.9,"2,085",-22
42,Chile,-35.675147,-71.542969,0.832,81.7,15.2,9.8,"21,290",11
90,China,35.86166,104.195397,0.727,75.8,13.1,7.5,"12,547",-7
97,Colombia,4.570868,-74.297333,0.72,74,13.5,7.3,"12,040",-9
159,Comoros,-11.875001,43.872219,0.503,63.3,11.5,4.6,"1,456",16
136,Congo,-0.228021,15.827659,0.591,62.3,11.1,6.1,"6,012",-14
176,Congo (Democratic Republic of the),-4.038333,21.758664,0.433,58.7,9.8,6,680,11
69,Costa Rica,9.748917,-83.753428,0.766,79.4,13.9,8.4,"13,413",10
172,Côte d'Ivoire,7.539989,-5.54708,0.462,51.5,8.9,4.3,"3,171",-24
47,Croatia,45.1,15.2,0.818,77.3,14.8,11,"19,409",11
67,Cuba,21.521757,-77.781167,0.769,79.4,13.8,11.5,"7,301",47
32,Cyprus,35.126413,33.429859,0.85,80.2,14,11.6,"28,633",3
28,Czech Republic,49.817492,15.472962,0.87,78.6,16.4,12.3,"26,660",10
4,Denmark,56.26392,9.501785,0.923,80.2,18.7,12.7,"44,025",11
168,Djibouti,11.825138,42.590275,0.47,62,6.4,3.8,"3,276",-22
94,Dominica,15.414999,-61.370976,0.724,77.8,12.7,7.9,"9,994",4
101,Dominican Republic,18.735693,-70.162651,0.715,73.5,13.1,7.6,"11,883",-12
88,Ecuador,-1.831239,-78.183406,0.732,75.9,14.2,7.6,"10,605",7
108,Egypt,26.820553,30.802498,0.69,71.1,13.5,6.6,"10,512",-12
116,El Salvador,13.794185,-88.89653,0.666,73,12.3,6.5,"7,349",-3
138,Equatorial Guinea,1.650801,10.267895,0.587,57.6,9,5.5,"21,056",-84
186,Eritrea,15.179384,39.782334,0.391,63.7,4.1,3.9,"1,130",-6
30,Estonia,58.595272,25.013607,0.861,76.8,16.5,12.5,"25,214",12
174,Ethiopia,9.145,40.489673,0.442,64.1,8.5,2.4,"1,428",2
90,Fiji,-16.578193,179.414413,0.727,70,15.7,9.9,"7,493",21
24,Finland,61.92411,25.748151,0.883,80.8,17.1,10.3,"38,695",0
22,France,46.227638,2.213749,0.888,82.2,16,11.1,"38,056",4
110,Gabon,-0.803689,11.609444,0.684,64.4,12.5,7.8,"16,367",-42
175,Gambia,13.443182,-15.310139,0.441,60.2,8.8,2.8,"1,507",-2
14,United Kingdom,55.378051,-3.435973,0.907,80.7,16.2,13.1,"39,267",9
76,Georgia,42.315407,43.356892,0.754,74.9,13.8,12.1,"7,164",40
6,Germany,51.165691,10.451526,0.916,80.9,16.5,13.1,"43,919",11
140,Ghana,7.946527,-1.023194,0.579,61.4,11.5,7,"3,852",-1
29,Greece,39.074208,21.824312,0.865,80.9,17.6,10.3,"24,524",14
79,Grenada,12.262776,-61.604171,0.75,73.4,15.8,8.6,"10,939",14
128,Guatemala,15.783471,-90.230759,0.627,71.8,10.7,5.6,"6,929",-11
182,Guinea,9.945587,-9.696645,0.411,58.8,8.7,2.4,"1,096",0
178,Guinea-Bissau,11.803749,-15.180413,0.42,55.2,9,2.8,"1,362",-1
124,Guyana,4.860416,-58.93018,0.636,66.4,10.3,8.5,"6,522",-4
163,Haiti,18.971187,-72.285215,0.483,62.8,8.7,4.9,"1,669",4
131,Honduras,15.199999,-86.241905,0.606,73.1,11.1,5.5,"3,938",7
12,"Hong Kong, China (SAR)",22.396428,114.109497,0.91,84,15.6,11.2,"53,959",-2
44,Hungary,47.162494,19.503304,0.828,75.2,15.4,11.6,"22,916",3
16,Iceland,64.963051,-19.020835,0.899,82.6,19,10.6,"35,182",12
130,India,20.593684,78.96288,0.609,68,11.7,5.4,"5,497",-4
110,Indonesia,-0.789275,113.921327,0.684,68.9,13,7.6,"9,788",-9
69,Iran (Islamic Republic of),32.427908,53.688046,0.766,75.4,15.1,8.2,"15,440",4
121,Iraq,33.223191,43.679291,0.654,69.4,10.1,6.4,"14,003",-44
6,Ireland,53.41291,-8.24389,0.916,80.9,18.6,12.2,"39,568",16
18,Israel,31.046051,34.851612,0.894,82.4,16,12.5,"30,676",16
27,Italy,41.87194,12.56738,0.873,83.1,16,10.1,"33,030",4
99,Jamaica,18.109581,-77.297508,0.719,75.7,12.4,9.7,"7,415",13
20,Japan,36.204824,138.252924,0.891,83.5,15.3,11.5,"36,927",7
80,Jordan,30.585164,36.238414,0.748,74,13.5,9.9,"11,365",11
56,Kazakhstan,48.019573,66.923684,0.788,69.4,15,11.4,"20,867",-1
145,Kenya,-0.023559,37.906193,0.548,61.6,11,6.3,"2,762",9
137,Kiribati,-3.370417,-168.734039,0.59,66,12.3,7.8,"2,434",21
17,Korea (Republic of),35.907757,127.766922,0.898,81.9,16.9,11.9,"33,890",13
48,Kuwait,29.31166,47.481766,0.816,74.4,14.7,7.2,"83,961",-46
120,Kyrgyzstan,41.20438,74.766098,0.655,70.6,12.5,10.6,"3,044",29
141,Lao People's Democratic Republic,19.85627,102.495496,0.575,66.2,10.6,5,"4,680",-6
46,Latvia,56.879635,24.603189,0.819,74.2,15.2,11.5,"22,281",4
67,Lebanon,33.854721,35.862285,0.769,79.3,13.8,7.9,"16,509",-1
161,Lesotho,-29.609988,28.233608,0.497,49.8,11.1,5.9,"3,306",-16
177,Liberia,6.428055,-9.429499,0.43,60.9,9.5,4.1,805,7
94,Libya,26.3351,17.228331,0.724,71.6,14,7.3,"14,911",-19
13,Liechtenstein,47.166,9.555373,0.908,80,15,11.8,"79,851",-10
37,Lithuania,55.169438,23.881275,0.839,73.3,16.4,12.4,"24,500",7
19,Luxembourg,49.815273,6.129583,0.892,81.7,13.9,11.7,"58,711",-11
154,Madagascar,-18.766947,46.869107,0.51,65.1,10.3,6,"1,328",24
173,Malawi,-13.254308,34.301525,0.445,62.8,10.8,4.3,747,13
62,Malaysia,4.210484,101.975766,0.779,74.7,12.7,10,"22,762",-14
104,Maldives,3.202778,73.22068,0.706,76.8,13,5.8,"12,328",-19
179,Mali,17.570692,-3.996166,0.419,58,8.4,2,"1,583",-8
37,Malta,35.937496,14.375416,0.839,80.6,14.4,10.3,"27,930",-1
156,Mauritania,21.00789,-10.940835,0.506,63.1,8.5,3.8,"3,560",-14
63,Mauritius,-20.348404,57.552152,0.777,74.4,15.6,8.5,"17,470",0
74,Mexico,23.634501,-102.552784,0.756,76.8,13.1,8.5,"16,056",-4
123,Micronesia (Federated States of),7.425554,150.550812,0.64,69.1,11.7,9.7,"3,432",21
107,Moldova (Republic of),47.411631,28.369885,0.693,71.6,11.9,11.2,"5,223",23
90,Mongolia,46.862496,103.846656,0.727,69.4,14.6,9.3,"10,729",4
49,Montenegro,42.708678,19.37439,0.802,76.2,15.2,11.2,"14,558",27
126,Morocco,31.791702,-7.09262,0.628,74,11.6,4.4,"6,850",-8
180,Mozambique,-18.665695,35.529562,0.416,55.1,9.3,3.2,"1,123",1
148,Myanmar,21.913965,95.956223,0.536,65.9,8.6,4.1,"4,608",-12
126,Namibia,-22.95764,18.49041,0.628,64.8,11.3,6.2,"9,418",-21
145,Nepal,28.394857,84.124008,0.548,69.6,12.4,3.3,"2,311",16
5,Netherlands,52.132633,5.291266,0.922,81.6,17.9,11.9,"45,435",9
9,New Zealand,-40.900557,174.885971,0.913,81.8,19.2,12.5,"32,689",23
125,Nicaragua,12.865416,-85.207229,0.631,74.9,11.5,6,"4,457",12
188,Niger,17.607789,8.081666,0.348,61.4,5.4,1.5,908,-5
152,Nigeria,9.081999,8.675277,0.514,52.8,9,5.9,"5,341",-24
1,Norway,60.472024,8.468946,0.944,81.6,17.5,12.6,"64,992",5
52,Oman,21.512583,55.923255,0.793,76.8,13.6,8,"34,858",-23
147,Pakistan,30.375321,69.345116,0.538,66.2,7.8,4.7,"4,866",-14
60,Palau,7.51498,134.58252,0.78,72.7,13.7,12.3,"13,496",18
113,"Palestine, State of",31.952162,35.233154,0.677,72.9,13,8.9,"4,699",21
60,Panama,8.537981,-80.782127,0.78,77.6,13.3,9.3,"18,192",1
158,Papua New Guinea,-6.314993,143.95555,0.505,62.6,9.9,4,"2,463",-1
112,Paraguay,-23.442503,-58.443832,0.679,72.9,11.9,7.7,"7,643",-3
84,Peru,-9.189967,-75.015152,0.734,74.6,13.1,9,"11,015",8
115,Philippines,12.879721,121.774017,0.668,68.2,11.3,8.9,"7,915",-7
36,Poland,51.919438,19.145136,0.843,77.4,15.5,11.8,"23,177",10
43,Portugal,39.399872,-8.224454,0.83,80.9,16.3,8.2,"25,757",-2
32,Qatar,25.354826,51.183884,0.85,78.2,13.8,9.1,"123,124",-31
52,Romania,45.943161,24.96676,0.793,74.7,14.2,10.8,"18,108",10
50,Russian Federation,61.52401,105.318756,0.798,70.1,14.7,12,"22,352",-1
163,Rwanda,-1.940278,29.873888,0.483,64.2,10.3,3.7,"1,458",11
77,Saint Kitts and Nevis,17.357822,-62.782998,0.752,73.8,12.9,8.4,"20,805",-21
89,Saint Lucia,13.909444,-60.978893,0.729,75.1,12.6,9.3,"9,765",14
97,Saint Vincent and the Grenadines,12.984305,-61.287228,0.72,72.9,13.4,8.6,"9,937",3
105,Samoa,-13.759029,-172.104629,0.702,73.4,12.9,10.3,"5,327",24
143,Sao Tome and Principe,0.18636,6.613081,0.555,66.5,11.3,4.7,"2,918",8
39,Saudi Arabia,23.885942,45.079162,0.837,74.3,16.3,8.7,"52,821",-27
170,Senegal,14.497401,-14.452362,0.466,66.5,7.9,2.5,"2,188",-8
66,Serbia,44.016521,21.005859,0.771,74.9,14.4,10.5,"12,190",20
64,Seychelles,-4.679574,55.491977,0.772,73.1,13.4,9.4,"23,300",-19
181,Sierra Leone,8.460555,-11.779889,0.413,50.9,8.6,3.1,"1,780",-16
11,Singapore,1.352083,103.819836,0.912,83,15.4,10.6,"76,628",-7
35,Slovakia,48.669026,19.699024,0.844,76.3,15.1,12.2,"25,845",5
25,Slovenia,46.151241,14.995463,0.88,80.4,16.8,11.9,"27,852",12
156,Solomon Islands,-9.64571,160.156194,0.506,67.9,9.2,5,"1,540",16
116,South Africa,-30.559482,22.937506,0.666,57.4,13.6,9.9,"12,122",-29
169,South Sudan,12.862807,30.217636,0.467,55.7,7.6,5.4,"2,332",-9
26,Spain,40.463667,-3.74922,0.876,82.6,17.3,9.6,"32,045",7
73,Sri Lanka,7.873054,80.771797,0.757,74.9,13.7,10.8,"9,779",29
167,Sudan,12.862807,30.217636,0.479,63.5,7,3.1,"3,809",-27
103,Suriname,3.919305,-56.027783,0.714,71.1,12.7,7.7,"15,617",-32
150,Swaziland,-26.522503,31.465866,0.531,49,11.3,7.1,"5,542",-25
14,Sweden,60.128161,18.643501,0.907,82.2,15.8,12.1,"45,636",-1
3,Switzerland,46.818188,8.227512,0.93,83,15.8,12.8,"56,431",6
134,Syrian Arab Republic,34.802075,38.996815,0.594,69.6,12.3,6.3,"2,728",21
129,Tajikistan,38.861034,71.276093,0.624,69.4,11.2,10.4,"2,517",27
151,Tanzania (United Republic of),-6.369028,34.888822,0.521,65,9.2,5.1,"2,411",8
93,Thailand,15.870032,100.992541,0.726,74.4,13.5,7.3,"13,323",-13
81,The former Yugoslav Republic of Macedonia,41.608635,21.745275,0.747,75.4,13.4,9.3,"11,780",9
133,Timor-Leste,-8.874217,125.727539,0.595,68.2,11.7,4.4,"5,363",-6
162,Togo,8.619543,0.824782,0.484,59.7,12.2,4.5,"1,228",17
100,Tonga,-21.178986,-175.198242,0.717,72.8,14.7,10.7,"5,069",32
64,Trinidad and Tobago,10.691803,-61.222503,0.772,70.4,12.3,10.9,"26,090",-25
96,Tunisia,33.886917,9.537499,0.721,74.8,14.6,6.8,"10,404",1
72,Turkey,38.963745,35.243322,0.761,75.3,14.5,7.6,"18,677",-12
109,Turkmenistan,38.969719,59.556278,0.688,65.6,10.8,9.9,"13,066",-28
163,Uganda,1.373333,32.290275,0.483,58.5,9.8,5.4,"1,613",6
81,Ukraine,48.379433,31.16558,0.747,71,15.1,11.3,"8,178",25
41,United Arab Emirates,23.424076,53.847818,0.835,77,13.3,9.5,"60,868",-34
52,Uruguay,-32.522779,-55.765835,0.793,77.2,15.5,8.5,"19,283",7
8,United States of America,37.09024,-95.712891,0.915,79.1,16.5,12.9,"52,947",3
114,Uzbekistan,41.377491,64.585262,0.675,68.4,11.5,10.9,"5,567",10
134,Vanuatu,-15.376706,166.959158,0.594,71.9,10.6,6.8,"2,803",19
71,Venezuela (Bolivarian Republic of),6.42375,-66.58973,0.762,74.2,14.2,8.9,"16,159",-2
116,Vietnam,14.058324,108.277199,0.666,75.8,11.9,7.5,"5,092",15
160,Yemen,15.552727,48.516388,0.498,63.8,9.2,2.6,"3,519",-17
139,Zambia,-13.133897,27.849332,0.586,60.1,13.5,6.6,"3,734",2
155,Zimbabwe,-19.015438,29.154857,0.509,57.5,10.9,7.3,"1,615",13
